ebertchicago,1884,748113,2012/11/01 23:04:34
unknown,1213,0,2012/10/31 09:13:08
simonhelberg,625,397700,2012/11/01 23:25:38
markjakejohnson,426,142683,2012/11/01 23:36:28
BryanVoltaggio,192,172762,2012/11/01 22:14:50
gailsimmons,125,180780,2012/11/02 00:26:20
Mike_FTW,72,33793,2012/11/01 23:44:14
Sarcasticluther,49,7849,2012/11/02 02:47:23
ItsAmeriie,47,618806,2012/11/02 02:08:30
drgrist,43,26662,2012/11/02 17:49:35
edeweysmith,42,22063,2012/11/02 20:06:49
crystalchappell,38,36956,2012/11/02 18:59:20
ichadlowe,37,60024,2012/11/01 23:10:07
johntedge,36,56675,2012/11/01 22:08:21
StephanieWei,28,17654,2012/11/01 22:39:19
Follow24Hodge,24,12088,2012/11/01 23:18:21
PracticalWed,23,7705,2012/11/01 22:55:05
texasinafrica,21,9774,2012/11/01 23:39:38
SaraJChipps,20,10877,2012/11/01 22:45:04
russpitts,19,4753,2012/11/01 23:17:18
caro,17,30389,2012/11/01 22:44:20
sternbergh,16,6977,2012/11/01 23:07:55
naturallysteph,15,13494,2012/11/01 23:05:45
mrlady,14,5654,2012/11/01 22:19:12
floydcardoz,13,4587,2012/11/01 22:15:43
peterflom,12,4480,2012/11/01 21:45:43
DeirdreBolton,11,9290,2012/11/01 23:24:16
Bookgirl96,10,10770,2012/11/01 23:07:40
ClimateSilence,9,990,2012/11/01 21:44:43
alexpriest,8,6914,2012/11/01 23:04:54
stephgracenola,7,1858,2012/11/01 21:08:04
themetresgained,6,1036,2012/11/01 21:25:42
DylanReeve,5,2851,2012/11/01 21:21:00
OakvilleMayor,4,5198,2012/11/01 21:01:10
clseeyedleap,3,849,2012/11/01 20:36:10
epaynemls,2,486,2012/11/01 20:39:48
GovChristieNJ,1,8260,2012/10/31 09:13:08
bhangraxchick,0,585,2012/10/31 09:40:16
